Data Format: ,,,,,,,,
27,5/23/2017 14:10,604,1011.5,321,21.8,45,9.35,4.59
28,5/23/2017 14:15,606,1011.3,3,21.8,46.8,9.94,4.59
29,5/23/2017 14:20,526,1011.3,355,21.46,46.6,9.57,4.59
30,5/23/2017 14:25,612,1011.3,298,22.13,46.7,10.21,4.59
31,5/23/2017 14:30,532,1011.3,101,23.33,46.1,11.11,4.59
32,5/23/2017 14:35,501,1011.1,336,22.08,45.7,9.84,4.59
33,5/23/2017 14:40,624,1011.1,13,21.89,46.9,10.06,4.59
34,5/23/2017 14:45,541,1011,350,21.58,47.9,10.09,4.59
35,5/23/2017 14:50,429,1010.9,302,22.15,46.3,10.1,4.59
36,5/23/2017 14:55,391,1011,323,22.15,46.6,10.2,4.59
37,5/23/2017 15:00,473,1010.9,32,21.77,49.7,10.82,4.59
38,5/23/2017 15:05,622,1010.8,35,21.41,51.8,11.11,4.59
39,5/23/2017 15:10,489,1011,51,21.17,54.5,11.66,4.59
40,5/23/2017 15:15,394,1011,131,21.15,54.9,11.75,4.59
41,5/23/2017 15:20,504,1010.8,76,20.22,58.5,11.84,4.59
42,5/23/2017 15:25,381,1011,163,20.89,56.7,11.99,4.59
43,5/23/2017 15:30,434,1011,108,20.89,57.3,12.15,4.59
44,5/23/2017 15:35,444,1010.9,81,20.6,57,11.8,4.59
45,5/23/2017 15:40,502,1010.9,142,21.32,56.4,12.31,4.59
46,5/23/2017 15:45,464,1010.9,126,21.01,56.3,12,4.59
47,5/23/2017 15:50,413,1010.9,100,20.79,57,11.98,4.59
48,5/23/2017 15:55,369,1010.9,70,20.34,58.3,11.9,4.59
49,5/23/2017 16:00,483,1010.7,72,21.27,57,12.43,4.63
50,5/23/2017 16:05,516,1010.7,119,21.15,55.8,11.99,4.59
51,5/23/2017 16:10,429,1010.5,95,21.39,56.5,12.41,4.59
52,5/23/2017 16:15,287,1010.6,62,20.65,57.2,11.9,4.59
53,5/23/2017 16:20,297,1010.5,110,20.67,57,11.87,4.59
54,5/23/2017 16:25,332,1010.5,88,20.2,57.9,11.66,4.59
55,5/23/2017 16:30,321,1010.5,88,20.6,57,11.8,4.59
56,5/23/2017 16:35,324,1010.4,102,20.13,57.9,11.6,4.59
57,5/23/2017 16:40,376,1010.3,79,19.86,58.1,11.4,4.59
58,5/23/2017 16:45,423,1010.3,88,20.94,56.3,11.93,4.6
59,5/23/2017 16:50,466,1010.2,94,21.41,55.4,12.13,4.6
60,5/23/2017 16:55,504,1010.3,91,21.58,54.3,11.98,4.51
61,5/23/2017 17:00,341,1010.5,114,21.39,54.7,11.91,4.57
62,5/23/2017 17:05,188,1010.4,122,20.6,56.3,11.62,4.59
63,5/23/2017 17:10,274,1010.5,83,20.58,56.9,11.76,4.59
64,5/23/2017 17:15,258,1010.7,100,20.72,55.8,11.59,4.59
65,5/23/2017 17:20,259,1010.4,88,20.39,55.5,11.2,4.59
66,5/23/2017 17:25,241,1010.3,87,21.2,55.8,12.04,4.6
67,5/23/2017 17:30,256,1010.2,115,20.65,55.6,11.47,4.59
68,5/23/2017 17:35,269,1010.3,83,20.67,56.2,11.66,4.6
69,5/23/2017 17:40,291,1010.2,67,20.79,55.6,11.61,4.6
70,5/23/2017 17:45,296,1010,129,20.79,55.8,11.66,4.6
71,5/23/2017 17:50,327,1010.2,69,20.39,58.1,11.89,4.6
72,5/23/2017 17:55,322,1010.1,81,21.1,56.6,12.17,4.6
73,5/23/2017 18:00,331,1010.2,102,21.27,55,11.89,4.6
74,5/23/2017 18:05,309,1010.3,70,20.65,56.3,11.66,4.47
75,5/23/2017 18:10,323,1010.4,53,21.51,55.1,12.13,4.54
76,5/23/2017 18:15,293,1010.4,52,22.23,53.3,12.29,4.4
77,5/23/2017 18:20,282,1010.4,72,20.89,55.6,11.69,4.45
78,5/23/2017 18:25,179,1010.3,87,20.79,55.8,11.66,4.48
79,5/23/2017 18:30,203,1010.2,115,20.75,55.8,11.62,4.49
80,5/23/2017 18:35,166,1010.1,139,20.67,56.3,11.68,4.42
81,5/23/2017 18:40,134,1010.1,81,20.06,57.3,11.37,4.45
82,5/23/2017 18:45,122,1010.2,81,19.56,58.2,11.14,4.47
83,5/23/2017 18:50,104,1010.2,107,19.56,58.6,11.24,4.49
84,5/23/2017 18:55,96,1010.4,124,19.65,58.5,11.31,4.51
85,5/23/2017 19:00,82,1010.4,115,19.2,59.4,11.11,4.53
86,5/23/2017 19:05,63,1010.5,98,18.96,59.9,11.02,4.53
87,5/23/2017 19:10,53,1010.3,119,18.91,60.3,11.07,4.47
88,5/23/2017 19:15,44,1010.4,95,18.7,60.6,10.94,4.48
89,5/23/2017 19:20,38,1010.4,70,18.68,61.3,11.1,4.48
90,5/23/2017 19:25,32,1010.5,77,18.63,61.6,11.12,4.48
91,5/23/2017 19:30,26,1010.5,76,18.65,62.1,11.27,4.49
92,5/23/2017 19:35,19,1010.5,80,18.6,61.9,11.18,4.48
93,5/23/2017 19:40,14,1010.5,81,18.51,62.6,11.25,4.48
94,5/23/2017 19:45,11,1010.4,81,18.32,62.7,11.1,4.47
95,5/23/2017 19:50,8,1010.5,81,18.25,62.5,10.98,4.47
96,5/23/2017 19:55,6,1010.4,81,18.1,63.1,10.99,4.47
97,5/23/2017 20:00,3,1010.4,81,18.03,63.3,10.97,4.46
98,5/23/2017 20:05,1,1010.6,81,18.08,62.8,10.9,4.46
99,5/23/2017 20:10,1,1010.8,81,18.2,62.6,10.96,4.29
100,5/23/2017 20:15,2,1010.7,81,17.96,63.2,10.88,4.33
101,5/23/2017 20:20,1,1010.7,81,17.99,63.3,10.93,4.33
102,5/23/2017 20:25,1,1010.8,81,18.08,63.1,10.97,4.34
103,5/23/2017 20:30,1,1010.8,81,18.06,63.2,10.97,4.35
104,5/23/2017 20:35,1,1010.8,81,17.94,63.2,10.86,4.36
105,5/23/2017 20:40,1,1010.8,81,17.87,63.6,10.89,4.36
106,5/23/2017 20:45,1,1010.8,81,17.8,63.7,10.84,4.36
107,5/23/2017 20:50,1,1011,81,17.89,63.3,10.84,4.36
108,5/23/2017 20:55,1,1011,81,17.96,63.2,10.88,4.36
109,5/23/2017 21:00,1,1010.9,81,18.03,63.2,10.95,4.36
110,5/23/2017 21:05,1,1011,81,17.8,63.4,10.77,4.36
111,5/23/2017 21:10,1,1011,81,17.42,64.6,10.69,4.36
112,5/23/2017 21:15,1,1010.9,81,17.44,64.9,10.78,4.36
113,5/23/2017 21:20,1,1011.1,81,17.44,65.4,10.9,4.35
114,5/23/2017 21:25,1,1011.2,81,17.39,65.9,10.97,4.35
115,5/23/2017 21:30,1,1011.1,81,17.46,66.4,11.15,4.35
116,5/23/2017 21:35,1,1011,81,17.58,65.4,11.04,4.36
117,5/23/2017 21:40,1,1011,81,17.56,65.7,11.08,4.36
118,5/23/2017 21:45,1,1010.9,114,17.44,67.1,11.29,4.36
119,5/23/2017 21:50,1,1010.9,139,17.39,68.3,11.51,4.36
120,5/23/2017 21:55,1,1011,146,17.37,68.8,11.6,4.36
121,5/23/2017 22:00,1,1011,174,17.2,69.5,11.59,4.36
122,5/23/2017 22:05,1,1011,170,17.13,70.1,11.65,4.36
123,5/23/2017 22:10,1,1011,168,17.01,70.4,11.6,4.36
124,5/23/2017 22:15,1,1010.9,168,16.87,71.2,11.64,4.36
125,5/23/2017 22:20,1,1011,173,16.87,71.5,11.7,4.28
126,5/23/2017 22:25,1,1010.9,164,16.94,71.9,11.85,4.32
127,5/23/2017 22:30,1,1010.9,185,16.7,72.3,11.71,4.27
128,5/23/2017 22:35,1,1010.9,174,16.63,73.1,11.81,4.32
129,5/23/2017 22:40,1,1010.9,178,16.49,73.4,11.73,4.32
130,5/23/2017 22:45,1,1010.9,174,16.32,74,11.69,4.33
131,5/23/2017 22:50,1,1010.9,167,16.3,74.6,11.79,4.28
132,5/23/2017 22:55,1,1010.9,163,16.25,75.1,11.85,4.3
