Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "-5"
  daylightSavings: true

Logger Info: 
  - &1
    launchDescription: "Building 1 roof"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10290124
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 3743
Series Info: 
  - name: "Solar Rad"
    type: value
    unitName: ""
    OMClassName: OMSolarRad_HWS
    OMPartNumber: S-LIB-XXXX
    OMUnitIndex: 0
    OMChannelType: 19
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Pressure"
    type: value
    unitName: ""
    OMClassName: OMPressure_HWS
    OMPartNumber: S-BPB-XXXX
    OMUnitIndex: 0
    OMChannelType: 7
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 20
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Eastern Daylight Time","Solar Rad, W/m^2","Pressure, mbar","Wind Dir, *","Temp, *C","RH, %","DewPt, *C","Batt, V"
1,5/22/17 13:45:00,203,1021.9,101,11.64,84.50,9.13,4.54
2,5/22/17 13:50:00,186,1021.5,81,11.49,84.30,8.95,4.57
3,5/22/17 13:55:00,147,1021.7,112,11.73,84.70,9.26,4.59
4,5/22/17 14:00:00,176,1021.4,138,11.66,83.70,9.01,4.59
5,5/22/17 14:05:00,149,1021.4,66,11.66,82.90,8.87,4.59
6,5/22/17 14:10:00,129,1021.4,80,11.69,83.00,8.91,4.59
7,5/22/17 14:15:00,132,1021.2,105,11.54,82.60,8.69,4.59
8,5/22/17 14:20:00,109,1021.1,98,11.35,81.60,8.32,4.59
9,5/22/17 14:25:00,114,1021.2,101,11.49,81.00,8.36,4.59
10,5/22/17 14:30:00,141,1020.9,107,11.49,79.40,8.06,4.59
11,5/22/17 14:35:00,112,1020.9,117,11.61,78.40,8.00,4.59
12,5/22/17 14:40:00,113,1020.8,101,11.61,78.70,8.05,4.59
13,5/22/17 14:45:00,132,1020.8,93,11.81,78.90,8.28,4.50
14,5/22/17 14:50:00,144,1020.8,112,11.95,78.50,8.34,4.56
15,5/22/17 14:55:00,127,1020.8,125,11.64,79.00,8.13,4.59
16,5/22/17 15:00:00,86,1020.7,110,11.73,80.10,8.43,4.59
17,5/22/17 15:05:00,94,1020.6,90,11.69,80.00,8.36,4.59
18,5/22/17 15:10:00,99,1020.5,108,11.76,80.50,8.53,4.59
19,5/22/17 15:15:00,73,1020.5,88,11.95,81.50,8.90,4.59
20,5/22/17 15:20:00,74,1020.5,108,11.98,80.90,8.81,4.59
21,5/22/17 15:25:00,69,1020.5,115,12.32,81.30,9.22,4.60
22,5/22/17 15:30:00,67,1020.3,94,12.27,81.30,9.17,4.59
23,5/22/17 15:35:00,86,1020.2,117,12.58,81.60,9.53,4.59
24,5/22/17 15:40:00,96,1020.0,164,12.65,80.50,9.40,4.60
25,5/22/17 15:45:00,141,1019.9,86,12.51,81.10,9.37,4.48
26,5/22/17 15:50:00,143,1019.8,125,12.94,81.00,9.78,4.54
27,5/22/17 15:55:00,119,1019.9,128,12.87,80.20,9.56,4.56
28,5/22/17 16:00:00,97,1019.8,150,12.99,79.40,9.52,4.58
29,5/22/17 16:05:00,104,1019.9,135,13.31,79.20,9.79,4.59
30,5/22/17 16:10:00,89,1019.8,139,13.26,78.60,9.63,4.59
31,5/22/17 16:15:00,74,1019.8,188,13.18,77.60,9.37,4.59
32,5/22/17 16:20:00,107,1019.6,91,13.21,77.80,9.43,4.60
33,5/22/17 16:25:00,102,1019.4,87,13.14,77.80,9.36,4.59
34,5/22/17 16:30:00,91,1019.5,101,13.14,77.50,9.31,4.60
35,5/22/17 16:35:00,71,1019.4,119,13.26,77.30,9.38,4.60
36,5/22/17 16:40:00,72,1019.3,161,13.40,77.20,9.50,4.60
37,5/22/17 16:45:00,76,1019.3,173,13.47,76.60,9.46,4.60
38,5/22/17 16:50:00,88,1019.0,219,13.55,76.60,9.53,4.56
39,5/22/17 16:55:00,88,1019.0,175,13.64,75.90,9.48,4.59
40,5/22/17 17:00:00,74,1019.0,184,13.55,76.10,9.43,4.59
41,5/22/17 17:05:00,61,1019.1,181,13.02,77.70,9.23,4.59
42,5/22/17 17:10:00,57,1019.0,183,12.75,78.90,9.20,4.60
43,5/22/17 17:15:00,39,1019.0,181,12.56,80.40,9.29,4.60
44,5/22/17 17:20:00,39,1019.1,192,12.56,80.90,9.38,4.60
45,5/22/17 17:25:00,36,1019.1,205,12.32,80.60,9.09,4.60
46,5/22/17 17:30:00,27,1019.0,192,12.29,80.30,9.01,4.59
47,5/22/17 17:35:00,41,1018.9,184,12.27,80.40,9.00,4.59
48,5/22/17 17:40:00,52,1018.8,190,12.34,81.60,9.30,4.59
49,5/22/17 17:45:00,58,1018.6,178,12.32,81.40,9.24,4.60
50,5/22/17 17:50:00,47,1018.7,178,12.36,81.90,9.37,4.56
51,5/22/17 17:55:00,38,1018.7,180,12.12,82.00,9.16,4.61
52,5/22/17 18:00:00,28,1018.7,184,11.90,83.00,9.12,4.57
53,5/22/17 18:05:00,31,1018.5,183,11.93,83.60,9.25,4.59
54,5/22/17 18:10:00,28,1018.5,174,11.73,83.70,9.08,4.56
55,5/22/17 18:15:00,19,1018.6,184,11.78,84.30,9.23,4.56
56,5/22/17 18:20:00,21,1018.5,190,11.78,84.20,9.22,4.55
57,5/22/17 18:25:00,22,1018.2,194,11.95,84.20,9.38,4.54
58,5/22/17 18:30:00,21,1018.2,164,11.95,84.30,9.40,4.54
59,5/22/17 18:35:00,17,1018.4,181,11.95,84.40,9.42,4.54
60,5/22/17 18:40:00,12,1018.3,170,11.76,84.90,9.32,4.54
61,5/22/17 18:45:00,9,1018.3,194,11.71,85.50,9.37,4.53
62,5/22/17 18:50:00,8,1018.4,181,11.83,86.00,9.58,4.48
63,5/22/17 18:55:00,9,1018.4,192,11.90,86.40,9.72,4.48
64,5/22/17 19:00:00,8,1018.3,170,11.73,86.90,9.64,4.48
65,5/22/17 19:05:00,9,1018.2,178,11.49,87.60,9.52,4.48
66,5/22/17 19:10:00,6,1018.3,166,11.54,88.30,9.68,4.48
67,5/22/17 19:15:00,4,1018.3,83,11.49,88.70,9.70,4.47
68,5/22/17 19:20:00,4,1018.1,87,11.54,89.50,9.89,4.47
69,5/22/17 19:25:00,3,1018.1,146,11.44,90.00,9.87,4.47
70,5/22/17 19:30:00,3,1017.9,157,11.47,90.30,9.95,4.46
71,5/22/17 19:35:00,2,1017.9,150,11.47,90.40,9.96,4.46
72,5/22/17 19:40:00,2,1017.8,87,11.56,90.60,10.09,4.46
73,5/22/17 19:45:00,1,1017.8,156,11.52,90.70,10.06,4.45
74,5/22/17 19:50:00,1,1017.9,102,11.49,91.10,10.10,4.39
75,5/22/17 19:55:00,1,1017.7,168,11.59,91.30,10.23,4.41
76,5/22/17 20:00:00,1,1017.7,110,11.59,91.70,10.30,4.41
77,5/22/17 20:05:00,1,1017.6,119,11.71,91.80,10.43,4.41
78,5/22/17 20:10:00,1,1017.7,161,11.69,92.00,10.44,4.40
79,5/22/17 20:15:00,1,1017.6,190,11.81,92.10,10.58,4.40
80,5/22/17 20:20:00,1,1017.6,131,11.83,92.20,10.62,4.40
81,5/22/17 20:25:00,1,1017.6,143,11.81,92.10,10.58,4.40
82,5/22/17 20:30:00,1,1017.6,81,11.78,92.40,10.60,4.39
83,5/22/17 20:35:00,1,1017.7,178,11.78,92.40,10.60,4.39
84,5/22/17 20:40:00,1,1017.6,163,11.86,92.60,10.71,4.39
85,5/22/17 20:45:00,1,1017.5,153,11.83,92.40,10.65,4.39
86,5/22/17 20:50:00,1,1017.6,166,12.00,92.60,10.85,4.35
87,5/22/17 20:55:00,1,1017.5,104,12.00,92.60,10.85,4.36
88,5/22/17 21:00:00,1,1017.4,86,11.86,92.60,10.71,4.36
89,5/22/17 21:05:00,1,1017.4,150,12.05,92.70,10.92,4.36
90,5/22/17 21:10:00,1,1017.5,154,12.07,92.70,10.94,4.37
91,5/22/17 21:15:00,1,1017.4,156,12.05,92.50,10.88,4.37
92,5/22/17 21:20:00,1,1017.4,156,12.05,92.80,10.93,4.37
93,5/22/17 21:25:00,1,1017.4,156,12.03,92.70,10.89,4.37
94,5/22/17 21:30:00,1,1017.4,154,12.10,93.00,11.01,4.37
95,5/22/17 21:35:00,1,1017.4,147,12.27,93.00,11.18,4.37
96,5/22/17 21:40:00,1,1017.2,147,12.07,93.00,10.99,4.37
97,5/22/17 21:45:00,1,1017.3,143,12.12,93.30,11.09,4.37
98,5/22/17 21:50:00,1,1017.0,138,12.10,93.30,11.06,4.33
99,5/22/17 21:55:00,1,1016.9,138,12.19,93.50,11.19,4.35
100,5/22/17 22:00:00,1,1016.9,138,12.17,93.60,11.18,4.35
101,5/22/17 22:05:00,1,1016.9,138,12.24,93.70,11.27,4.36
102,5/22/17 22:10:00,1,1016.7,138,12.29,93.80,11.34,4.36
103,5/22/17 22:15:00,1,1016.8,138,12.27,93.80,11.31,4.36
104,5/22/17 22:20:00,1,1016.8,138,12.32,94.00,11.39,4.39
105,5/22/17 22:25:00,1,1016.6,131,12.32,94.10,11.41,4.39
106,5/22/17 22:30:00,1,1016.6,119,12.29,94.00,11.37,4.36
107,5/22/17 22:35:00,1,1016.7,114,12.51,94.20,11.62,4.36
108,5/22/17 22:40:00,1,1016.7,324,12.56,94.20,11.66,4.36
109,5/22/17 22:45:00,1,1016.8,350,12.39,94.10,11.48,4.36
110,5/22/17 22:50:00,1,1016.7,327,12.51,94.10,11.60,4.33
111,5/22/17 22:55:00,1,1016.7,1,12.34,94.20,11.45,4.35
112,5/22/17 23:00:00,1,1016.8,354,12.27,94.20,11.38,4.35
113,5/22/17 23:05:00,1,1016.7,351,12.15,94.20,11.26,4.36
114,5/22/17 23:10:00,1,1016.6,351,12.10,94.30,11.22,4.36
115,5/22/17 23:15:00,1,1016.6,352,12.12,94.40,11.26,4.36
116,5/22/17 23:20:00,1,1016.5,350,12.10,94.40,11.24,4.36
117,5/22/17 23:25:00,1,1016.5,343,12.05,94.40,11.19,4.36
118,5/22/17 23:30:00,1,1016.5,348,12.07,94.50,11.23,4.36
119,5/22/17 23:35:00,1,1016.4,350,12.10,94.50,11.26,4.36
120,5/22/17 23:40:00,1,1016.3,41,11.93,94.50,11.09,4.36
121,5/22/17 23:45:00,1,1016.3,354,11.98,94.50,11.13,4.36
122,5/22/17 23:50:00,1,1016.2,18,12.00,94.50,11.16,4.33
123,5/22/17 23:55:00,1,1016.2,345,11.86,94.50,11.01,4.35
124,5/23/17 00:00:00,1,1016.1,25,11.81,94.50,10.97,4.35
125,5/23/17 00:05:00,1,1016.1,17,11.86,94.50,11.01,4.35
126,5/23/17 00:10:00,1,1016.0,341,11.86,94.50,11.01,4.36
127,5/23/17 00:15:00,1,1015.9,7,11.86,94.50,11.01,4.36
128,5/23/17 00:20:00,1,1015.8,25,11.88,94.50,11.04,4.36
129,5/23/17 00:25:00,1,1015.9,348,11.90,94.50,11.06,4.36
130,5/23/17 00:30:00,1,1015.9,6,12.00,94.50,11.16,4.36
131,5/23/17 00:35:00,1,1015.8,32,11.98,94.50,11.13,4.36
132,5/23/17 00:40:00,1,1015.7,344,11.90,94.30,11.03,4.36
133,5/23/17 00:45:00,1,1015.6,320,12.00,94.50,11.16,4.36
134,5/23/17 00:50:00,1,1015.6,351,11.86,94.30,10.98,4.32
135,5/23/17 00:55:00,1,1015.7,343,11.90,94.40,11.05,4.34
136,5/23/17 01:00:00,1,1015.7,341,11.86,94.20,10.97,4.35
137,5/23/17 01:05:00,1,1015.7,0,11.81,94.30,10.93,4.35
138,5/23/17 01:10:00,1,1015.5,350,11.81,94.20,10.92,4.35
139,5/23/17 01:15:00,1,1015.3,355,11.78,94.10,10.88,4.35
140,5/23/17 01:20:00,1,1015.3,348,11.83,94.10,10.93,4.36
141,5/23/17 01:25:00,1,1015.2,345,11.73,93.90,10.80,4.36
142,5/23/17 01:30:00,1,1015.2,351,11.78,94.00,10.86,4.36
143,5/23/17 01:35:00,1,1015.2,355,11.76,94.00,10.84,4.36
144,5/23/17 01:40:00,1,1015.1,347,11.64,94.00,10.72,4.36
145,5/23/17 01:45:00,1,1015.2,355,11.69,94.20,10.80,4.36
146,5/23/17 01:50:00,1,1015.1,355,11.64,94.20,10.75,4.32
147,5/23/17 01:55:00,1,1015.0,351,11.71,94.10,10.81,4.34
148,5/23/17 02:00:00,1,1014.9,350,11.71,94.20,10.82,4.34
149,5/23/17 02:05:00,1,1014.9,354,11.76,94.20,10.87,4.35
150,5/23/17 02:10:00,1,1014.8,354,11.66,94.20,10.77,4.35
151,5/23/17 02:15:00,1,1014.7,351,11.66,94.10,10.76,4.35
152,5/23/17 02:20:00,1,1014.6,13,12.00,94.50,11.16,4.35
153,5/23/17 02:25:00,1,1014.7,350,11.88,94.20,10.99,4.35
154,5/23/17 02:30:00,1,1014.6,17,11.93,94.30,11.05,4.35
155,5/23/17 02:35:00,1,1014.7,4,12.00,94.10,11.10,4.35
156,5/23/17 02:40:00,1,1014.8,348,11.81,94.00,10.89,4.35
