Data Format: 
157,5/23/17 02:45:00,1,1014.9,350,11.90,94.00,10.98,4.36
158,5/23/17 02:50:00,1,1014.8,343,11.95,94.00,11.03,4.32
159,5/23/17 02:55:00,1,1014.6,343,11.93,93.90,10.99,4.35
160,5/23/17 03:00:00,1,1014.8,355,11.90,94.00,10.98,4.34
161,5/23/17 03:05:00,1,1014.8,340,11.93,93.80,10.97,4.35
162,5/23/17 03:10:00,1,1014.8,354,11.90,93.70,10.93,4.35
163,5/23/17 03:15:00,1,1014.9,327,11.93,93.70,10.96,4.35
164,5/23/17 03:20:00,1,1014.8,295,11.90,93.70,10.93,4.35
165,5/23/17 03:25:00,1,1014.8,319,11.93,93.70,10.96,4.35
166,5/23/17 03:30:00,1,1014.8,345,11.83,93.70,10.86,4.35
167,5/23/17 03:35:00,1,1014.5,355,11.90,93.70,10.93,4.35
168,5/23/17 03:40:00,1,1014.5,319,11.90,93.60,10.92,4.35
169,5/23/17 03:45:00,1,1014.6,321,11.98,93.70,11.01,4.35
170,5/23/17 03:50:00,1,1014.8,305,11.90,93.40,10.89,4.30
171,5/23/17 03:55:00,1,1014.8,293,11.88,93.60,10.89,4.33
172,5/23/17 04:00:00,1,1014.9,289,11.93,93.70,10.96,4.34
173,5/23/17 04:05:00,1,1014.8,333,12.10,93.80,11.14,4.34
174,5/23/17 04:10:00,1,1014.8,288,12.03,93.50,11.02,4.34
175,5/23/17 04:15:00,1,1014.7,239,11.98,93.50,10.97,4.35
176,5/23/17 04:20:00,1,1014.7,234,12.03,93.60,11.04,4.35
177,5/23/17 04:25:00,1,1014.6,261,12.03,93.50,11.02,4.35
178,5/23/17 04:30:00,1,1014.5,270,12.12,93.40,11.10,4.35
179,5/23/17 04:35:00,1,1014.4,345,12.07,93.00,10.99,4.35
180,5/23/17 04:40:00,1,1014.5,267,11.95,93.10,10.89,4.35
181,5/23/17 04:45:00,1,1014.5,305,12.19,93.30,11.16,4.35
182,5/23/17 04:50:00,1,1014.5,284,12.17,92.90,11.07,4.30
183,5/23/17 04:55:00,1,1014.5,281,12.17,92.80,11.05,4.33
184,5/23/17 05:00:00,1,1014.6,288,12.05,92.80,10.93,4.33
185,5/23/17 05:05:00,1,1014.6,343,12.05,92.80,10.93,4.34
186,5/23/17 05:10:00,1,1014.5,257,11.93,92.90,10.83,4.34
187,5/23/17 05:15:00,1,1014.5,270,11.98,93.20,10.93,4.34
188,5/23/17 05:20:00,2,1014.4,14,12.07,93.20,11.02,4.34
189,5/23/17 05:25:00,6,1014.4,331,12.00,93.00,10.92,4.34
190,5/23/17 05:30:00,8,1014.6,300,11.93,93.10,10.86,4.34
191,5/23/17 05:35:00,9,1014.6,279,11.98,93.30,10.94,4.34
192,5/23/17 05:40:00,9,1014.6,293,11.98,93.20,10.93,4.34
193,5/23/17 05:45:00,14,1014.6,279,12.22,93.20,11.17,4.34
194,5/23/17 05:50:00,13,1014.7,265,12.17,93.00,11.09,4.33
195,5/23/17 05:55:00,18,1014.8,271,12.07,93.00,10.99,4.32
196,5/23/17 06:00:00,19,1014.7,355,12.10,92.80,10.98,4.33
197,5/23/17 06:05:00,27,1014.7,296,12.12,92.60,10.97,4.34
198,5/23/17 06:10:00,19,1014.6,316,12.00,92.40,10.82,4.34
199,5/23/17 06:15:00,38,1014.6,302,11.98,92.40,10.80,4.34
200,5/23/17 06:20:00,32,1014.7,292,12.05,92.20,10.84,4.35
201,5/23/17 06:25:00,42,1014.9,281,11.90,92.20,10.69,4.36
202,5/23/17 06:30:00,42,1015.0,285,12.12,92.20,10.91,4.36
203,5/23/17 06:35:00,36,1015.1,279,12.17,92.20,10.96,4.36
204,5/23/17 06:40:00,46,1015.1,275,12.34,92.20,11.12,4.37
205,5/23/17 06:45:00,64,1015.2,282,12.56,92.00,11.31,4.39
206,5/23/17 06:50:00,63,1015.1,279,12.53,91.80,11.25,4.36
207,5/23/17 06:55:00,77,1015.2,286,12.49,91.80,11.20,4.39
208,5/23/17 07:00:00,91,1015.2,288,12.46,92.00,11.21,4.41
209,5/23/17 07:05:00,82,1015.3,321,12.53,91.70,11.23,4.43
210,5/23/17 07:10:00,107,1015.1,288,12.46,91.70,11.16,4.46
211,5/23/17 07:15:00,129,1015.0,302,12.51,91.70,11.21,4.51
212,5/23/17 07:20:00,179,1014.9,274,12.80,91.40,11.45,4.56
213,5/23/17 07:25:00,192,1014.6,314,13.21,90.80,11.75,4.57
214,5/23/17 07:30:00,144,1014.5,288,12.94,90.00,11.36,4.58
215,5/23/17 07:35:00,267,1014.8,258,13.11,89.80,11.49,4.59
216,5/23/17 07:40:00,209,1014.6,307,13.81,89.20,12.08,4.60
217,5/23/17 07:45:00,251,1014.5,320,13.76,88.50,11.91,4.59
218,5/23/17 07:50:00,197,1014.8,295,13.86,88.20,11.95,4.55
219,5/23/17 07:55:00,198,1014.8,324,13.81,86.90,11.68,4.59
220,5/23/17 08:00:00,243,1014.8,285,13.52,87.10,11.43,4.59
221,5/23/17 08:05:00,227,1014.8,288,13.35,87.60,11.35,4.59
222,5/23/17 08:10:00,297,1014.7,288,14.67,87.20,12.58,4.59
223,5/23/17 08:15:00,473,1014.6,285,14.58,85.70,12.22,4.59
224,5/23/17 08:20:00,487,1014.6,307,15.32,84.40,12.72,4.59
225,5/23/17 08:25:00,498,1014.6,340,15.01,83.20,12.20,4.59
226,5/23/17 08:30:00,267,1014.6,300,14.98,81.40,11.84,4.59
227,5/23/17 08:35:00,249,1014.6,324,14.43,82.90,11.58,4.59
228,5/23/17 08:40:00,443,1014.7,314,15.10,82.90,12.24,4.59
229,5/23/17 08:45:00,272,1014.9,296,14.96,81.00,11.74,4.59
230,5/23/17 08:50:00,746,1014.8,277,15.80,81.00,12.56,4.59
231,5/23/17 08:55:00,363,1014.8,275,15.63,79.40,12.09,4.59
232,5/23/17 09:00:00,377,1015.0,295,15.51,79.50,12.00,4.59
233,5/23/17 09:05:00,302,1014.6,341,15.29,79.90,11.86,4.59
234,5/23/17 09:10:00,307,1014.4,321,15.10,80.30,11.75,4.59
235,5/23/17 09:15:00,343,1014.6,299,15.58,79.70,12.10,4.59
236,5/23/17 09:20:00,433,1014.4,271,16.13,77.80,12.27,4.59
237,5/23/17 09:25:00,446,1014.2,316,15.84,76.20,11.68,4.59
238,5/23/17 09:30:00,456,1014.4,320,16.39,75.00,11.97,4.59
239,5/23/17 09:35:00,713,1014.3,300,16.61,73.40,11.85,4.59
240,5/23/17 09:40:00,559,1014.2,352,17.46,72.10,12.40,4.59
241,5/23/17 09:45:00,707,1014.2,331,17.39,70.50,11.99,4.59
242,5/23/17 09:50:00,697,1014.2,354,17.32,69.20,11.64,4.54
