2017-05-26 13:45:29 119,56 1645.37037037
2017-05-26 13:45:29 116,56 1708.65384615
2017-05-26 13:45:29 120,60 2019.31818182
2017-05-26 13:45:31 120,62 2221.25
2017-05-26 13:45:32 68,144 935.263157895
2017-05-26 13:45:33 118,60 1974.44444444
2017-05-26 13:45:34 118,59 1931.52173913
2017-05-26 13:45:35 117,59 1851.04166667
2017-05-26 13:45:36 284,271 1615.45454545
2017-05-26 13:45:36 237,23 423.095238095
2017-05-26 13:45:39 172,28 1033.13953488
2017-05-26 13:45:41 119,60 2019.31818182
2017-05-26 13:45:41 117,60 1931.52173913
2017-05-26 13:45:42 313,68 448.737373737
2017-05-26 13:45:43 333,66 409.447004608
2017-05-26 13:45:43 266,342 1708.65384615
2017-05-26 13:45:43 262,324 987.222222222
2017-05-26 13:45:44 118,60 1974.44444444
2017-05-26 13:45:45 119,62 2115.47619048
2017-05-26 13:45:46 119,62 2115.47619048
2017-05-26 13:45:47 120,60 1931.52173913
2017-05-26 13:45:48 119,61 2115.47619048
2017-05-26 13:45:50 119,62 2066.27906977
2017-05-26 13:45:52 345,268 1480.83333333
2017-05-26 13:45:52 119,61 2019.31818182
2017-05-26 13:45:53 237,226 2115.47619048
2017-05-26 13:45:54 143,42 266.816816817
2017-05-26 13:45:54 133,30 238.203753351
2017-05-26 13:45:55 116,42 246.805555556
2017-05-26 13:45:55 181,55 270.884146341
2017-05-26 13:45:58 116,71 2338.15789474
2017-05-26 13:46:00 236,343 1931.52173913
2017-05-26 13:46:01 81,46 417.136150235
2017-05-26 13:46:01 79,124 386.304347826
2017-05-26 13:46:02 341,321 871.078431373
2017-05-26 13:46:02 531,37 1708.65384615
2017-05-26 13:46:03 57,114 419.103773585
2017-05-26 13:46:03 25,104 379.700854701
2017-05-26 13:46:04 56,112 386.304347826
2017-05-26 13:46:04 268,100 2167.07317073
2017-05-26 13:46:05 95,360 1851.04166667
2017-05-26 13:46:05 60,83 370.208333333
2017-05-26 13:46:06 26,75 371.757322176
2017-05-26 13:46:07 127,80 1890.42553191
2017-05-26 13:46:07 59,82 381.330472103
2017-05-26 13:46:07 70,80 367.148760331
2017-05-26 13:46:08 112,81 365.637860082
2017-05-26 13:46:08 91,86 407.568807339
2017-05-26 13:46:09 104,92 373.319327731
2017-05-26 13:46:10 75,86 359.71659919
2017-05-26 13:46:11 77,79 365.637860082
2017-05-26 13:46:11 64,57 331.529850746
2017-05-26 13:46:12 124,338 1480.83333333
2017-05-26 13:46:12 84,52 327.859778598
2017-05-26 13:46:12 63,42 313.957597173
2017-05-26 13:46:13 85,30 319.604316547
2017-05-26 13:46:13 178,337 1645.37037037
2017-05-26 13:46:13 121,30 306.379310345
2017-05-26 13:46:14 128,27 305.326460481
2017-05-26 13:46:14 71,157 1346.21212121
2017-05-26 13:46:14 95,31 335.283018868
2017-05-26 13:46:15 74,159 1505.93220339
2017-05-26 13:46:15 134,27 309.581881533
2017-05-26 13:46:16 72,155 1366.92307692
2017-05-26 13:46:16 96,24 327.859778598
2017-05-26 13:46:17 70,130 1346.21212121
2017-05-26 13:46:17 130,24 307.439446367
2017-05-26 13:46:17 71,155 1251.4084507
2017-05-26 13:46:18 103,27 316.192170819
2017-05-26 13:46:18 83,25 315.070921986
2017-05-26 13:46:19 71,138 1645.37037037
2017-05-26 13:46:19 74,155 1287.68115942
2017-05-26 13:46:19 94,45 352.579365079
2017-05-26 13:46:20 86,48 367.148760331
2017-05-26 13:46:21 82,58 373.319327731
2017-05-26 13:46:22 114,51 349.803149606
2017-05-26 13:46:22 382,154 2019.31818182
2017-05-26 13:46:22 76,157 1410.31746032
2017-05-26 13:46:23 75,160 1558.77192982
2017-05-26 13:46:24 302,171 1456.55737705
2017-05-26 13:46:24 90,66 332.771535581
2017-05-26 13:46:25 116,83 398.430493274
2017-05-26 13:46:26 69,135 779.385964912
2017-05-26 13:46:26 166,38 334.022556391
2017-05-26 13:46:26 171,6 330.29739777
2017-05-26 13:46:27 78,17 402.036199095
2017-05-26 13:46:28 64,45 325.457875458
2017-05-26 13:46:28 133,56 335.283018868
2017-05-26 13:46:29 112,43 334.022556391
2017-05-26 13:46:29 95,43 334.022556391
2017-05-26 13:46:30 113,58 345.719844358
2017-05-26 13:46:30 141,44 305.326460481
2017-05-26 13:46:31 69,119 1096.91358025
2017-05-26 13:46:31 132,44 339.122137405
2017-05-26 13:46:31 192,365 1586.60714286
2017-05-26 13:46:31 146,47 316.192170819
2017-05-26 13:46:32 96,75 343.05019305
2017-05-26 13:46:32 99,74 323.090909091
2017-05-26 13:46:33 75,159 1480.83333333
2017-05-26 13:46:33 135,89 349.803149606
2017-05-26 13:46:33 75,158 1456.55737705
2017-05-26 13:46:33 141,97 347.0703125
2017-05-26 13:46:34 111,115 389.692982456
2017-05-26 13:46:34 109,123 362.653061224
2017-05-26 13:46:35 74,196 1456.55737705
2017-05-26 13:46:35 121,123 364.139344262
2017-05-26 13:46:35 69,95 356.827309237
2017-05-26 13:46:36 75,107 371.757322176
2017-05-26 13:46:37 145,416 2019.31818182
2017-05-26 13:46:37 75,197 1586.60714286
2017-05-26 13:46:37 118,125 373.319327731
2017-05-26 13:46:38 113,118 355.4
2017-05-26 13:46:38 82,122 370.208333333
2017-05-26 13:46:39 74,197 1505.93220339
2017-05-26 13:46:39 125,119 379.700854701
2017-05-26 13:46:39 186,381 2115.47619048
2017-05-26 13:46:39 68,136 786.283185841
2017-05-26 13:46:39 160,111 384.632034632
2017-05-26 13:46:40 117,56 1558.77192982
2017-05-26 13:46:40 319,38 306.379310345
2017-05-26 13:46:41 237,22 437.684729064
2017-05-26 13:46:41 231,33 259.037900875
2017-05-26 13:46:42 67,140 871.078431373
2017-05-26 13:46:42 136,90 389.692982456
2017-05-26 13:46:42 114,88 379.700854701
2017-05-26 13:46:43 110,92 379.700854701
2017-05-26 13:46:43 104,86 341.730769231
2017-05-26 13:46:44 53,94 376.483050847
2017-05-26 13:46:45 77,70 326.654411765
2017-05-26 13:46:45 78,104 419.103773585
2017-05-26 13:46:46 89,114 409.447004608
2017-05-26 13:46:46 74,197 1586.60714286
2017-05-26 13:46:46 114,112 368.67219917
2017-05-26 13:46:47 118,114 413.255813953
2017-05-26 13:46:47 98,109 387.991266376
2017-05-26 13:46:48 85,105 371.757322176
2017-05-26 13:46:48 104,115 373.319327731
2017-05-26 13:46:49 96,120 379.700854701
2017-05-26 13:46:49 107,128 402.036199095
2017-05-26 13:46:50 97,121 396.651785714
2017-05-26 13:46:50 90,119 382.974137931
2017-05-26 13:46:51 164,45 421.090047393
2017-05-26 13:46:51 173,69 235.676392573
2017-05-26 13:46:51 150,43 419.103773585
2017-05-26 13:46:52 130,45 451.015228426
2017-05-26 13:46:52 124,295 2961.66666667
2017-05-26 13:46:52 146,32 485.519125683
2017-05-26 13:46:52 146,54 259.795321637
2017-05-26 13:46:53 128,20 442.039800995
2017-05-26 13:46:53 119,64 2167.07317073
2017-05-26 13:46:53 214,41 444.25
2017-05-26 13:46:54 535,268 987.222222222
2017-05-26 13:46:54 302,56 496.368715084
2017-05-26 13:46:54 317,38 467.631578947
2017-05-26 13:46:55 309,39 504.829545455
2017-05-26 13:46:55 117,61 2019.31818182
2017-05-26 13:46:59 173,67 239.48787062
2017-05-26 13:46:59 290,319 1615.45454545
2017-05-26 13:47:00 116,56 2019.31818182
2017-05-26 13:47:00 118,50 1505.93220339
2017-05-26 13:47:00 321,353 1306.61764706
2017-05-26 13:47:01 117,56 1974.44444444
2017-05-26 13:47:01 329,60 1083.53658537
2017-05-26 13:47:03 190,11 569.551282051
2017-05-26 13:47:05 117,57 2066.27906977
2017-05-26 13:47:05 167,13 266.816816817
2017-05-26 13:47:06 81,111 1070.48192771
2017-05-26 13:47:06 144,11 465.183246073
2017-05-26 13:47:06 108,15 435.539215686
2017-05-26 13:47:06 72,146 1184.66666667
2017-05-26 13:47:06 125,15 423.095238095
2017-05-26 13:47:07 147,31 475.13368984
2017-05-26 13:47:07 118,38 417.136150235
2017-05-26 13:47:08 84,38 382.974137931
2017-05-26 13:47:08 59,53 400.225225225
2017-05-26 13:47:09 45,50 386.304347826
2017-05-26 13:47:09 52,44 355.4
2017-05-26 13:47:09 38,68 365.637860082
2017-05-26 13:47:10 57,86 379.700854701
2017-05-26 13:47:10 38,102 370.208333333
2017-05-26 13:47:11 48,140 407.568807339
2017-05-26 13:47:11 86,133 398.430493274
2017-05-26 13:47:12 75,191 1505.93220339
2017-05-26 13:47:12 115,134 387.991266376
2017-05-26 13:47:12 115,132 415.186915888
2017-05-26 13:47:13 126,113 384.632034632
2017-05-26 13:47:13 68,130 807.727272727
2017-05-26 13:47:13 161,88 368.67219917
2017-05-26 13:47:13 94,97 374.894514768
2017-05-26 13:47:14 78,122 376.483050847
2017-05-26 13:47:14 123,98 348.431372549
2017-05-26 13:47:15 75,152 1433.06451613
2017-05-26 13:47:15 137,102 379.700854701
2017-05-26 13:47:15 106,94 379.700854701
2017-05-26 13:47:16 121,98 365.637860082
2017-05-26 13:47:16 75,188 1433.06451613
2017-05-26 13:47:16 128,105 386.304347826
2017-05-26 13:47:17 107,78 368.67219917
2017-05-26 13:47:17 89,62 368.67219917
2017-05-26 13:47:17 75,149 1251.4084507
2017-05-26 13:47:17 129,16 370.208333333
2017-05-26 13:47:18 59,58 368.67219917
2017-05-26 13:47:18 46,83 362.653061224
2017-05-26 13:47:19 87,62 382.974137931
2017-05-26 13:47:19 49,46 361.178861789
2017-05-26 13:47:20 62,36 317.321428571
2017-05-26 13:47:20 79,45 327.859778598
2017-05-26 13:47:21 94,32 321.920289855
2017-05-26 13:47:21 84,34 307.439446367
2017-05-26 13:47:22 51,47 336.553030303
2017-05-26 13:47:22 21,40 327.859778598
2017-05-26 13:47:23 60,35 303.242320819
2017-05-26 13:47:23 98,31 306.379310345
2017-05-26 13:47:23 57,39 325.457875458
2017-05-26 13:47:24 19,73 326.654411765
2017-05-26 13:47:25 26,84 332.771535581
2017-05-26 13:47:25 36,105 353.984063745
2017-05-26 13:47:25 31,398 1531.89655172
2017-05-26 13:47:26 31,126 373.319327731
2017-05-26 13:47:26 62,128 349.803149606
2017-05-26 13:47:27 51,107 336.553030303
2017-05-26 13:47:28 55,136 364.139344262
2017-05-26 13:47:29 12,402 1531.89655172
2017-05-26 13:47:30 8,404 1558.77192982
2017-05-26 13:47:30 40,146 364.139344262
2017-05-26 13:47:30 47,138 355.4
2017-05-26 13:47:31 28,406 1586.60714286
2017-05-26 13:47:32 77,144 340.421455939
2017-05-26 13:47:32 89,136 334.022556391
2017-05-26 13:47:32 33,407 1676.41509434
2017-05-26 13:47:33 72,134 329.074074074
2017-05-26 13:47:34 100,123 330.29739777
2017-05-26 13:47:34 88,79 347.0703125
2017-05-26 13:47:34 73,96 348.431372549
2017-05-26 13:47:35 114,86 326.654411765
2017-05-26 13:47:35 115,93 351.185770751
2017-05-26 13:47:36 41,76 345.719844358
2017-05-26 13:47:37 46,93 362.653061224
2017-05-26 13:47:37 55,104 349.803149606
2017-05-26 13:47:37 87,98 324.270072993
2017-05-26 13:47:38 73,120 371.757322176
2017-05-26 13:47:38 93,127 347.0703125
2017-05-26 13:47:39 366,132 1645.37037037
2017-05-26 13:47:39 101,137 340.421455939
2017-05-26 13:47:39 83,144 382.974137931
2017-05-26 13:47:40 91,133 323.090909091
2017-05-26 13:47:40 112,153 330.29739777
2017-05-26 13:47:40 112,154 340.421455939
2017-05-26 13:47:41 78,160 382.974137931
2017-05-26 13:47:41 86,149 336.553030303
2017-05-26 13:47:42 70,110 332.771535581
2017-05-26 13:47:43 60,112 344.379844961
2017-05-26 13:47:43 122,76 382.974137931
2017-05-26 13:47:44 118,53 1777.0
2017-05-26 13:47:48 38,133 370.208333333
2017-05-26 13:47:49 48,120 378.085106383
2017-05-26 13:47:49 18,95 343.05019305
2017-05-26 13:47:49 67,73 374.894514768
2017-05-26 13:47:51 108,29 402.036199095
2017-05-26 13:47:52 74,61 318.458781362
2017-05-26 13:47:53 41,48 367.148760331
2017-05-26 13:47:53 71,26 344.379844961
2017-05-26 13:47:53 100,30 370.208333333
2017-05-26 13:47:54 126,63 2776.5625
2017-05-26 13:47:54 217,169 648.540145985
2017-05-26 13:47:54 241,112 955.376344086
2017-05-26 13:47:55 119,52 1645.37037037
2017-05-26 13:47:55 260,159 1169.07894737
2017-05-26 13:47:55 270,188 1251.4084507
2017-05-26 13:47:55 222,30 465.183246073
2017-05-26 13:47:56 118,54 1931.52173913
2017-05-26 13:47:56 283,218 1777.0
2017-05-26 13:47:56 69,197 525.73964497
2017-05-26 13:47:57 490,406 1586.60714286
2017-05-26 13:47:58 315,345 1531.89655172
2017-05-26 13:47:58 159,159 1531.89655172
2017-05-26 13:47:59 255,34 485.519125683
2017-05-26 13:47:59 214,16 220.47146402
2017-05-26 13:47:59 186,36 262.09439528
2017-05-26 13:48:00 73,133 838.20754717
2017-05-26 13:48:00 152,44 457.989690722
2017-05-26 13:48:00 147,42 250.988700565
2017-05-26 13:48:01 207,39 522.647058824
2017-05-26 13:48:01 188,36 238.203753351
2017-05-26 13:48:01 140,35 453.316326531
2017-05-26 13:48:02 68,149 1306.61764706
2017-05-26 13:48:02 107,39 373.319327731
2017-05-26 13:48:02 91,66 373.319327731
2017-05-26 13:48:03 45,64 353.984063745
2017-05-26 13:48:03 77,73 373.319327731
2017-05-26 13:48:03 90,91 403.863636364
2017-05-26 13:48:04 81,97 402.036199095
2017-05-26 13:48:04 78,98 423.095238095
2017-05-26 13:48:05 111,84 379.700854701
