2017-05-17 14:08:36 113,46 313.944723618
2017-05-17 14:08:38 344,270 2716.30434783
2017-05-17 14:08:39 375,303 2975.0
2017-05-17 14:08:39 300,8 1622.72727273
2017-05-17 14:08:39 293,15 1622.72727273
2017-05-17 14:08:43 301,137 2499.0
2017-05-17 14:08:43 301,135 2499.0
2017-05-17 14:08:45 247,219 3203.84615385
2017-05-17 14:08:47 72,10 385.648148148
2017-05-17 14:08:48 69,9 384.461538462
2017-05-17 14:08:48 46,2 354.971590909
2017-05-17 14:08:48 56,18 369.674556213
2017-05-17 14:08:49 56,18 374.101796407
2017-05-17 14:08:49 55,12 363.226744186
2017-05-17 14:08:49 57,11 365.350877193
2017-05-17 14:08:50 60,13 362.173913043
2017-05-17 14:08:50 57,19 360.086455331
2017-05-17 14:08:50 55,12 354.971590909
2017-05-17 14:08:51 64,13 368.584070796
2017-05-17 14:08:51 66,10 369.674556213
2017-05-17 14:08:51 63,11 367.5
2017-05-17 14:08:52 66,14 369.674556213
2017-05-17 14:08:52 57,12 359.051724138
2017-05-17 14:08:53 56,16 359.051724138
2017-05-17 14:08:53 58,16 363.226744186
2017-05-17 14:08:53 53,14 358.022922636
2017-05-17 14:08:54 57,16 362.173913043
2017-05-17 14:08:54 62,9 357.0
2017-05-17 14:08:55 241,387 3123.75
2017-05-17 14:08:56 434,44 3786.36363636
2017-05-17 14:08:56 183,10 343.269230769
2017-05-17 14:08:57 166,5 350.0
2017-05-17 14:08:57 151,2 322.868217054
2017-05-17 14:08:58 151,6 349.022346369
2017-05-17 14:08:58 130,11 358.022922636
2017-05-17 14:08:58 287,36 3047.56097561
2017-05-17 14:08:58 83,10 343.269230769
2017-05-17 14:08:59 60,18 342.328767123
2017-05-17 14:08:59 59,17 347.083333333
2017-05-17 14:09:00 57,12 336.79245283
2017-05-17 14:09:00 67,9 340.463215259
2017-05-17 14:09:00 78,16 354.971590909
2017-05-17 14:09:01 71,13 343.269230769
2017-05-17 14:09:01 64,15 337.702702703
2017-05-17 14:09:01 71,13 338.617886179
2017-05-17 14:09:02 70,6 350.0
2017-05-17 14:09:02 90,11 371.875
2017-05-17 14:09:02 88,13 367.5
2017-05-17 14:09:03 93,13 368.584070796
2017-05-17 14:09:03 95,14 363.226744186
2017-05-17 14:09:03 93,15 362.173913043
2017-05-17 14:09:04 85,13 357.0
2017-05-17 14:09:04 84,12 350.0
2017-05-17 14:09:05 81,10 355.982905983
2017-05-17 14:09:05 89,10 344.214876033
2017-05-17 14:09:05 64,14 338.617886179
2017-05-17 14:09:06 65,18 346.121883657
2017-05-17 14:09:06 66,17 346.121883657
2017-05-17 14:09:06 69,17 348.050139276
2017-05-17 14:09:07 75,14 355.982905983
2017-05-17 14:09:07 72,14 337.702702703
2017-05-17 14:09:07 80,13 310.820895522
2017-05-17 14:09:08 78,13 296.090047393
2017-05-17 14:09:08 85,10 295.390070922
2017-05-17 14:09:09 64,6 283.977272727
2017-05-17 14:09:09 302,32 1759.85915493
2017-05-17 14:09:09 61,12 283.977272727
2017-05-17 14:09:10 288,35 2015.32258065
2017-05-17 14:09:11 227,32 1470.0
2017-05-17 14:09:11 238,35 1581.64556962
2017-05-17 14:09:16 255,48 1622.72727273
2017-05-17 14:09:17 272,57 2117.79661017
2017-05-17 14:09:17 273,54 1864.92537313
2017-05-17 14:09:17 263,55 2192.10526316
2017-05-17 14:09:20 26,249 2231.25
2017-05-17 14:09:21 28,20 294.0
2017-05-17 14:09:21 32,21 299.64028777
2017-05-17 14:09:21 33,15 285.926773455
2017-05-17 14:09:22 35,6 290.581395349
2017-05-17 14:09:22 49,17 295.390070922
2017-05-17 14:09:23 27,181 2776.66666667
2017-05-17 14:09:23 64,12 283.977272727
2017-05-17 14:09:23 23,178 2402.88461538
2017-05-17 14:09:23 62,12 289.236111111
2017-05-17 14:09:24 47,10 288.56812933
2017-05-17 14:09:24 50,9 287.24137931
2017-05-17 14:09:24 41,11 287.903225806
2017-05-17 14:09:25 47,9 293.309859155
2017-05-17 14:09:25 47,9 288.56812933
2017-05-17 14:09:26 54,5 291.939252336
2017-05-17 14:09:26 50,8 288.56812933
2017-05-17 14:09:26 63,11 294.693396226
2017-05-17 14:09:27 66,8 297.5
2017-05-17 14:09:27 69,14 297.5
2017-05-17 14:09:28 52,11 290.581395349
2017-05-17 14:09:28 70,7 289.236111111
2017-05-17 14:09:28 80,14 294.693396226
2017-05-17 14:09:29 313,12 2082.5
2017-05-17 14:09:29 85,3 287.903225806
2017-05-17 14:09:30 357,20 2015.32258065
2017-05-17 14:09:30 376,24 2192.10526316
2017-05-17 14:09:30 167,404 2154.31034483
2017-05-17 14:09:30 432,313 2975.0
2017-05-17 14:09:31 154,399 2154.31034483
2017-05-17 14:09:31 342,15 1893.18181818
2017-05-17 14:09:31 150,394 2117.79661017
2017-05-17 14:09:32 360,20 2357.54716981
2017-05-17 14:09:32 163,394 2048.36065574
2017-05-17 14:09:32 358,9 1601.92307692
2017-05-17 14:09:33 397,355 3123.75
2017-05-17 14:09:33 389,357 3470.83333333
2017-05-17 14:09:34 407,9 1810.86956522
2017-05-17 14:09:34 448,5 1893.18181818
2017-05-17 14:09:35 502,284 4627.77777778
2017-05-17 14:09:36 332,212 589.386792453
2017-05-17 14:09:41 105,12 294.0
2017-05-17 14:09:42 97,3 283.977272727
2017-05-17 14:09:42 108,12 293.309859155
2017-05-17 14:09:42 106,5 285.926773455
2017-05-17 14:09:43 87,2 289.907192575
2017-05-17 14:09:44 91,6 290.581395349
2017-05-17 14:09:44 82,6 290.581395349
2017-05-17 14:09:44 70,6 283.977272727
2017-05-17 14:09:45 66,3 288.56812933
2017-05-17 14:09:45 71,2 289.907192575
2017-05-17 14:09:45 70,2 287.24137931
2017-05-17 14:09:46 79,10 297.5
2017-05-17 14:09:46 77,12 297.5
2017-05-17 14:09:47 69,13 302.542372881
2017-05-17 14:09:47 64,14 300.360576923
2017-05-17 14:09:48 76,215 3288.15789474
2017-05-17 14:09:48 130,328 2154.31034483
2017-05-17 14:09:49 144,115 1343.5483871
2017-05-17 14:09:51 40,12 314.735516373
2017-05-17 14:09:51 47,16 312.375
2017-05-17 14:09:52 47,14 312.375
2017-05-17 14:09:52 56,13 309.282178218
2017-05-17 14:09:52 70,11 302.542372881
2017-05-17 14:09:53 71,19 318.75
2017-05-17 14:09:53 69,5 313.944723618
2017-05-17 14:09:54 102,3 312.375
2017-05-17 14:09:57 163,7 369.674556213
2017-05-17 14:09:57 131,9 366.42228739
2017-05-17 14:09:58 97,5 355.982905983
2017-05-17 14:09:59 108,8 411.019736842
2017-05-17 14:10:00 107,11 427.910958904
2017-05-17 14:10:00 108,2 396.666666667
2017-05-17 14:10:02 91,9 395.411392405
2017-05-17 14:10:03 91,9 425.0
2017-05-17 14:10:03 91,9 435.365853659
2017-05-17 14:10:03 100,13 426.450511945
2017-05-17 14:10:04 93,7 407.003257329
2017-05-17 14:10:04 95,7 419.295302013
2017-05-17 14:10:04 96,8 419.295302013
2017-05-17 14:10:05 93,6 391.692789969
2017-05-17 14:10:05 82,10 382.110091743
2017-05-17 14:10:05 76,14 374.101796407
2017-05-17 14:10:06 61,17 363.226744186
2017-05-17 14:10:06 60,23 363.226744186
