2017-05-26 13:36:50 128,20 216.180048662
2017-05-26 13:36:51 98,141 1480.83333333
2017-05-26 13:36:52 142,10 433.414634146
2017-05-26 13:36:52 100,71 1974.44444444
2017-05-26 13:36:53 136,22 226.081424936
2017-05-26 13:36:54 98,72 2221.25
2017-05-26 13:36:58 98,104 1558.77192982
2017-05-26 13:37:00 140,428 2692.42424242
2017-05-26 13:37:02 148,12 467.631578947
2017-05-26 13:37:04 141,115 2019.31818182
2017-05-26 13:37:16 302,162 2221.25
2017-05-26 13:37:20 402,426 1931.52173913
2017-05-26 13:37:21 124,4 453.316326531
2017-05-26 13:37:23 123,19 232.591623037
2017-05-26 13:37:31 132,112 1890.42553191
2017-05-26 13:37:31 388,100 807.727272727
2017-05-26 13:37:38 224,148 541.768292683
2017-05-26 13:37:39 217,236 551.863354037
2017-05-26 13:37:40 97,140 1480.83333333
2017-05-26 13:37:42 287,145 604.421768707
2017-05-26 13:37:42 278,215 569.551282051
2017-05-26 13:37:43 507,290 3063.79310345
2017-05-26 13:37:43 261,266 562.341772152
2017-05-26 13:37:43 237,248 532.035928144
2017-05-26 13:37:43 88,76 752.966101695
2017-05-26 13:37:46 233,182 643.84057971
2017-05-26 13:37:49 345,149 879.702970297
2017-05-26 13:37:50 140,33 242.098092643
2017-05-26 13:37:51 142,30 219.382716049
2017-05-26 13:37:52 148,68 246.805555556
2017-05-26 13:37:52 124,26 451.015228426
2017-05-26 13:37:52 96,77 1433.06451613
2017-05-26 13:37:53 92,100 1456.55737705
2017-05-26 13:37:53 129,12 453.316326531
2017-05-26 13:37:53 113,6 429.22705314
2017-05-26 13:37:54 165,31 222.681704261
2017-05-26 13:37:54 95,99 1366.92307692
2017-05-26 13:37:55 136,5 444.25
2017-05-26 13:37:55 176,254 1851.04166667
2017-05-26 13:37:55 129,9 421.090047393
2017-05-26 13:37:56 165,5 370.208333333
2017-05-26 13:37:56 423,262 998.314606742
2017-05-26 13:37:56 128,26 387.991266376
2017-05-26 13:37:57 119,32 367.148760331
2017-05-26 13:37:57 99,103 1505.93220339
2017-05-26 13:37:57 154,55 378.085106383
2017-05-26 13:37:58 112,68 396.651785714
2017-05-26 13:37:58 129,60 382.974137931
2017-05-26 13:37:59 105,69 409.447004608
2017-05-26 13:37:59 325,285 1742.15686275
2017-05-26 13:38:00 127,81 407.568807339
2017-05-26 13:38:00 99,77 403.863636364
2017-05-26 13:38:00 112,82 402.036199095
2017-05-26 13:38:01 93,81 407.568807339
2017-05-26 13:38:02 102,44 415.186915888
2017-05-26 13:38:02 122,67 237.56684492
2017-05-26 13:38:04 11,60 442.039800995
2017-05-26 13:38:04 24,75 236.303191489
2017-05-26 13:38:05 49,24 400.225225225
2017-05-26 13:38:06 106,15 370.208333333
2017-05-26 13:38:06 100,33 433.414634146
2017-05-26 13:38:07 49,24 400.225225225
2017-05-26 13:38:07 56,21 419.103773585
2017-05-26 13:38:07 72,28 213.581730769
2017-05-26 13:38:08 67,4 444.25
2017-05-26 13:38:08 81,21 225.507614213
2017-05-26 13:38:09 257,122 699.606299213
2017-05-26 13:38:09 245,233 545.09202454
2017-05-26 13:38:10 88,86 906.632653061
2017-05-26 13:38:11 91,102 1456.55737705
2017-05-26 13:38:11 127,12 435.539215686
2017-05-26 13:38:11 99,101 1433.06451613
2017-05-26 13:38:12 167,27 211.547619048
2017-05-26 13:38:12 97,104 1531.89655172
2017-05-26 13:38:13 155,92 398.430493274
2017-05-26 13:38:13 139,82 400.225225225
2017-05-26 13:38:14 77,12 379.700854701
2017-05-26 13:38:15 96,99 1558.77192982
2017-05-26 13:38:16 138,12 208.568075117
2017-05-26 13:38:16 107,12 405.707762557
2017-05-26 13:38:17 118,37 218.304668305
2017-05-26 13:38:17 548,432 2401.35135135
