2017-05-17 14:19:31 278,154 1983.33333333
2017-05-17 14:19:31 345,7 1262.12121212
2017-05-17 14:19:32 247,145 2082.5
2017-05-17 14:19:32 320,2 1419.88636364
2017-05-17 14:19:33 316,15 1329.25531915
2017-05-17 14:19:33 62,5 282.054176072
2017-05-17 14:19:34 320,7 1436.20689655
2017-05-17 14:19:34 93,5 285.926773455
2017-05-17 14:19:35 288,12 1523.7804878
2017-05-17 14:19:35 67,10 285.926773455
2017-05-17 14:19:35 54,4 287.24137931
2017-05-17 14:19:36 61,10 290.581395349
2017-05-17 14:19:36 47,9 287.903225806
2017-05-17 14:19:36 53,11 291.258741259
2017-05-17 14:19:37 277,26 1666.0
2017-05-17 14:19:37 57,12 288.56812933
2017-05-17 14:19:37 59,14 292.62295082
2017-05-17 14:19:38 64,19 295.390070922
2017-05-17 14:19:38 72,16 295.390070922
2017-05-17 14:19:38 280,28 1601.92307692
2017-05-17 14:19:39 66,20 294.693396226
2017-05-17 14:19:39 55,14 289.236111111
2017-05-17 14:19:39 70,17 291.258741259
2017-05-17 14:19:40 63,13 291.939252336
2017-05-17 14:19:40 326,197 1470.0
2017-05-17 14:19:40 56,6 287.24137931
2017-05-17 14:19:41 57,11 290.581395349
2017-05-17 14:19:41 60,18 292.62295082
2017-05-17 14:19:42 61,10 285.926773455
2017-05-17 14:19:42 69,15 294.0
2017-05-17 14:19:42 60,9 283.977272727
2017-05-17 14:19:43 280,29 1601.92307692
2017-05-17 14:19:43 66,13 290.581395349
2017-05-17 14:19:43 66,13 290.581395349
2017-05-17 14:19:44 57,6 283.977272727
2017-05-17 14:19:44 66,17 291.258741259
2017-05-17 14:19:45 70,20 297.5
2017-05-17 14:19:45 64,12 294.0
2017-05-17 14:19:46 583,380 2658.5106383
2017-05-17 14:19:46 64,10 287.24137931
2017-05-17 14:19:46 67,15 294.0
2017-05-17 14:19:47 70,20 297.5
2017-05-17 14:19:47 79,20 301.811594203
2017-05-17 14:19:48 65,10 289.236111111
2017-05-17 14:19:48 75,17 297.5
2017-05-17 14:19:48 73,17 297.5
2017-05-17 14:19:49 66,13 294.693396226
2017-05-17 14:19:49 64,15 291.258741259
2017-05-17 14:19:50 70,15 297.5
2017-05-17 14:19:50 66,13 293.309859155
2017-05-17 14:19:51 72,47 315.53030303
2017-05-17 14:19:51 176,122 2271.81818182
2017-05-17 14:19:51 314,261 1288.1443299
2017-05-17 14:19:52 272,114 1581.64556962
2017-05-17 14:19:52 253,102 1262.12121212
2017-05-17 14:19:52 267,102 1470.0
2017-05-17 14:19:53 281,103 1785.0
2017-05-17 14:19:53 132,95 1601.92307692
2017-05-17 14:19:53 267,96 1436.20689655
2017-05-17 14:19:53 8,407 2450.0
2017-05-17 14:19:55 278,101 1601.92307692
2017-05-17 14:19:55 10,410 2716.30434783
2017-05-17 14:19:57 85,82 1837.5
