2017-05-17 14:14:02 285,403 1983.33333333
2017-05-17 14:14:07 384,427 2550.0
2017-05-17 14:14:11 371,419 2402.88461538
2017-05-17 14:14:12 214,216 2048.36065574
2017-05-17 14:14:19 178,388 3123.75
2017-05-17 14:14:20 177,386 3203.84615385
2017-05-17 14:14:22 229,210 2499.0
2017-05-17 14:14:26 376,419 2402.88461538
2017-05-17 14:14:27 378,423 2499.0
2017-05-17 14:14:28 241,214 2716.30434783
2017-05-17 14:14:30 378,425 2550.0
2017-05-17 14:14:33 165,393 3288.15789474
2017-05-17 14:14:33 401,116 3470.83333333
2017-05-17 14:14:34 171,386 3123.75
2017-05-17 14:14:38 278,403 1735.41666667
2017-05-17 14:14:38 239,401 1759.85915493
2017-05-17 14:14:39 136,378 3047.56097561
2017-05-17 14:14:41 256,406 1810.86956522
2017-05-17 14:14:42 260,407 1864.92537313
2017-05-17 14:14:42 260,408 1893.18181818
2017-05-17 14:14:43 381,200 543.260869565
2017-05-17 14:14:43 365,198 538.577586207
2017-05-17 14:14:44 587,383 3047.56097561
2017-05-17 14:14:49 252,408 1922.30769231
2017-05-17 14:14:49 261,406 1952.34375
2017-05-17 14:14:53 53,446 4165.0
2017-05-17 14:14:56 261,407 1864.92537313
2017-05-17 14:14:58 60,41 1135.90909091
2017-05-17 14:14:58 262,406 1837.5
2017-05-17 14:14:58 64,43 1190.0
2017-05-17 14:14:59 370,102 3786.36363636
2017-05-17 14:15:06 248,22 879.929577465
2017-05-17 14:15:07 243,7 827.483443709
2017-05-17 14:15:07 247,4 873.776223776
2017-05-17 14:15:07 13,417 3377.02702703
2017-05-17 14:15:07 243,8 879.929577465
2017-05-17 14:15:08 247,374 1864.92537313
2017-05-17 14:15:08 14,224 3570.0
2017-05-17 14:15:08 263,373 1952.34375
2017-05-17 14:15:09 262,385 1952.34375
2017-05-17 14:15:09 173,354 3288.15789474
2017-05-17 14:15:09 265,385 1644.07894737
2017-05-17 14:15:10 246,395 1735.41666667
2017-05-17 14:15:11 422,390 1983.33333333
2017-05-17 14:15:11 244,396 1666.0
2017-05-17 14:15:11 243,396 1688.51351351
2017-05-17 14:15:12 238,390 1711.64383562
2017-05-17 14:15:13 244,397 1711.64383562
2017-05-17 14:15:14 250,396 1810.86956522
2017-05-17 14:15:14 251,399 1893.18181818
2017-05-17 14:15:14 484,437 4805.76923077
2017-05-17 14:15:15 260,400 1893.18181818
2017-05-17 14:15:15 157,367 3203.84615385
2017-05-17 14:15:16 262,391 1785.0
2017-05-17 14:15:18 298,389 2082.5
2017-05-17 14:15:20 260,393 1666.0
2017-05-17 14:15:21 274,375 1688.51351351
2017-05-17 14:15:21 285,366 1893.18181818
2017-05-17 14:15:21 282,364 1735.41666667
2017-05-17 14:15:22 175,343 3377.02702703
2017-05-17 14:15:22 38,414 3786.36363636
2017-05-17 14:15:22 260,380 1505.42168675
2017-05-17 14:15:37 205,248 2154.31034483
2017-05-17 14:15:38 166,333 3288.15789474
2017-05-17 14:15:39 166,118 2082.5
2017-05-17 14:15:39 257,324 2839.77272727
2017-05-17 14:15:39 14,70 1301.5625
2017-05-17 14:15:40 399,161 2499.0
2017-05-17 14:15:40 416,145 2905.81395349
2017-05-17 14:15:41 256,369 1785.0
2017-05-17 14:15:41 259,354 1785.0
2017-05-17 14:15:42 259,383 1688.51351351
2017-05-17 14:15:42 268,395 1759.85915493
2017-05-17 14:15:46 215,153 1893.18181818
2017-05-17 14:15:50 216,299 2450.0
2017-05-17 14:15:50 209,285 2271.81818182
2017-05-17 14:15:55 174,265 2313.88888889
2017-05-17 14:15:59 465,195 4998.0
2017-05-17 14:16:01 164,341 2271.81818182
2017-05-17 14:16:07 160,270 2231.25
2017-05-17 14:16:13 185,265 2357.54716981
2017-05-17 14:16:13 182,260 2192.10526316
2017-05-17 14:16:15 5,375 1893.18181818
2017-05-17 14:16:15 7,375 1983.33333333
2017-05-17 14:16:20 233,124 1837.5
2017-05-17 14:16:20 249,126 1810.86956522
